BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 1 of 9
2048 throws, one word each, no rerolls             this page: 1-1-1-1 .. 1-8-2-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1-1  abandon     1-2-7-3  also        1-4-6-1  attend      1-6-4-3  beyond
3-6-7-1  finish      3-8-5-3  furnace     4-2-4-1  grain       4-4-2-3  holiday
3-6-7-2  fire        3-8-5-4  fury        4-2-4-2  grant       4-4-2-4  hollow
3-6-7-3  firm        3-8-6-1  future      4-2-4-3  grape       4-4-3-1  home
3-6-7-4  first       3-8-6-2  gadget      4-2-4-4  grass       4-4-3-2  honey
3-6-8-1  fiscal      3-8-6-3  gain        4-2-5-1  gravity     4-4-3-3  hood
3-6-8-2  fish        3-8-6-4  galaxy      4-2-5-2  great       4-4-3-4  hope
3-6-8-3  fit         3-8-7-1  gallery     4-2-5-3  green       4-4-4-1  horn
3-6-8-4  fitness     3-8-7-2  game        4-2-5-4  grid        4-4-4-2  horror
3-7-1-1  fix         3-8-7-3  gap         4-2-6-1  grief       4-4-4-3  horse
3-7-1-2  flag        3-8-7-4  garage      4-2-6-2  grit        4-4-4-4  hospital
3-7-1-3  flame       3-8-8-1  garbage     4-2-6-3  grocery     4-4-5-1  host
3-7-1-4  flash       3-8-8-2  garden      4-2-6-4  group       4-4-5-2  hotel
3-7-2-1  flat        3-8-8-3  garlic      4-2-7-1  grow        4-4-5-3  hour
3-7-2-2  flavor      3-8-8-4  garment     4-2-7-2  grunt       4-4-5-4  hover
3-7-2-3  flee        4-1-1-1  gas         4-2-7-3  guard       4-4-6-1  hub
3-7-2-4  flight      4-1-1-2  gasp        4-2-7-4  guess       4-4-6-2  huge
3-7-3-1  flip        4-1-1-3  gate        4-2-8-1  guide       4-4-6-3  human
3-7-3-2  float       4-1-1-4  gather      4-2-8-2  guilt       4-4-6-4  humble
3-7-3-3  flock       4-1-2-1  gauge       4-2-8-3  guitar      4-4-7-1  humor
3-7-3-4  floor       4-1-2-2  gaze        4-2-8-4  gun         4-4-7-2  hundred
3-7-4-1  flower      4-1-2-3  general     4-3-1-1  gym         4-4-7-3  hungry
3-7-4-2  fluid       4-1-2-4  genius      4-3-1-2  habit       4-4-7-4  hunt
3-7-4-3  flush       4-1-3-1  genre       4-3-1-3  hair        4-4-8-1  hurdle
3-7-4-4  fly         4-1-3-2  gentle      4-3-1-4  half        4-4-8-2  hurry
3-7-5-1  foam        4-1-3-3  genuine     4-3-2-1  hammer      4-4-8-3  hurt
3-7-5-2  focus       4-1-3-4  gesture     4-3-2-2  hamster     4-4-8-4  husband
3-7-5-3  fog         4-1-4-1  ghost       4-3-2-3  hand        4-5-1-1  hybrid
3-7-5-4  foil        4-1-4-2  giant       4-3-2-4  happy       4-5-1-2  ice
3-7-6-1  fold        4-1-4-3  gift        4-3-3-1  harbor      4-5-1-3  icon
3-7-6-2  follow      4-1-4-4  giggle      4-3-3-2  hard        4-5-1-4  idea
3-7-6-3  food        4-1-5-1  ginger      4-3-3-3  harsh       4-5-2-1  identify
3-7-6-4  foot        4-1-5-2  giraffe     4-3-3-4  harvest     4-5-2-2  idle
3-7-7-1  force       4-1-5-3  girl        4-3-4-1  hat         4-5-2-3  ignore
3-7-7-2  forest      4-1-5-4  give        4-3-4-2  have        4-5-2-4  ill
3-7-7-3  forget      4-1-6-1  glad        4-3-4-3  hawk        4-5-3-1  illegal
3-7-7-4  fork        4-1-6-2  glance      4-3-4-4  hazard      4-5-3-2  illness
3-7-8-1  fortune     4-1-6-3  glare       4-3-5-1  head        4-5-3-3  image
3-7-8-2  forum       4-1-6-4  glass       4-3-5-2  health      4-5-3-4  imitate
3-7-8-3  forward     4-1-7-1  glide       4-3-5-3  heart       4-5-4-1  immense
3-7-8-4  fossil      4-1-7-2  glimpse     4-3-5-4  heavy       4-5-4-2  immune
3-8-1-1  foster      4-1-7-3  globe       4-3-6-1  hedgehog    4-5-4-3  impact
3-8-1-2  found       4-1-7-4  gloom       4-3-6-2  height      4-5-4-4  impose
3-8-1-3  fox         4-1-8-1  glory       4-3-6-3  hello       4-5-5-1  improve
3-8-1-4  fragile     4-1-8-2  glove       4-3-6-4  helmet      4-5-5-2  impulse
3-8-2-1  frame       4-1-8-3  glow        4-3-7-1  help        4-5-5-3  inch
3-8-2-2  frequent    4-1-8-4  glue        4-3-7-2  hen         4-5-5-4  include
3-8-2-3  fresh       4-2-1-1  goat        4-3-7-3  hero        4-5-6-1  income
3-8-2-4  friend      4-2-1-2  goddess     4-3-7-4  hidden      4-5-6-2  increase
3-8-3-1  fringe      4-2-1-3  gold        4-3-8-1  high        4-5-6-3  index
3-8-3-2  frog        4-2-1-4  good        4-3-8-2  hill        4-5-6-4  indicate
3-8-3-3  front       4-2-2-1  goose       4-3-8-3  hint        4-5-7-1  indoor
3-8-3-4  frost       4-2-2-2  gorilla     4-3-8-4  hip         4-5-7-2  industry
3-8-4-1  frown       4-2-2-3  gospel      4-4-1-1  hire        4-5-7-3  infant
3-8-4-2  frozen      4-2-2-4  gossip      4-4-1-2  history     4-5-7-4  inflict
3-8-4-3  fruit       4-2-3-1  govern      4-4-1-3  hobby       4-5-8-1  inform
3-8-4-4  fuel        4-2-3-2  gown        4-4-1-4  hockey      4-5-8-2  inhale
3-8-5-1  fun         4-2-3-3  grab        4-4-2-1  hold        4-5-8-3  inherit
3-8-5-2  funny       4-2-3-4  grace       4-4-2-2  hole        4-5-8-4  initial

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 5 of 9
2048 throws, one word each, no rerolls             this page: 4-6-1-1 .. 5-5-2-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

4-6-1-1  inject      4-7-7-3  kitten      5-1-6-1  little      5-3-4-3  mean
4-6-1-2  injury      4-7-7-4  kiwi        5-1-6-2  live        5-3-4-4  measure
4-6-1-3  inmate      4-7-8-1  knee        5-1-6-3  lizard      5-3-5-1  meat
4-6-1-4  inner       4-7-8-2  knife       5-1-6-4  load        5-3-5-2  mechanic
4-6-2-1  innocent    4-7-8-3  knock       5-1-7-1  loan        5-3-5-3  medal
4-6-2-2  input       4-7-8-4  know        5-1-7-2  lobster     5-3-5-4  media
4-6-2-3  inquiry     4-8-1-1  lab         5-1-7-3  local       5-3-6-1  melody
4-6-2-4  insane      4-8-1-2  label       5-1-7-4  lock        5-3-6-2  melt
4-6-3-1  insect      4-8-1-3  labor       5-1-8-1  logic       5-3-6-3  member
4-6-3-2  inside      4-8-1-4  ladder      5-1-8-2  lonely      5-3-6-4  memory
4-6-3-3  inspire     4-8-2-1  lady        5-1-8-3  long        5-3-7-1  mention
4-6-3-4  install     4-8-2-2  lake        5-1-8-4  loop        5-3-7-2  menu
4-6-4-1  intact      4-8-2-3  lamp        5-2-1-1  lottery     5-3-7-3  mercy
4-6-4-2  interest    4-8-2-4  language    5-2-1-2  loud        5-3-7-4  merge
4-6-4-3  into        4-8-3-1  laptop      5-2-1-3  lounge      5-3-8-1  merit
4-6-4-4  invest      4-8-3-2  large       5-2-1-4  love        5-3-8-2  merry
4-6-5-1  invite      4-8-3-3  later       5-2-2-1  loyal       5-3-8-3  mesh
4-6-5-2  involve     4-8-3-4  latin       5-2-2-2  lucky       5-3-8-4  message
4-6-5-3  iron        4-8-4-1  laugh       5-2-2-3  luggage     5-4-1-1  metal
4-6-5-4  island      4-8-4-2  laundry     5-2-2-4  lumber      5-4-1-2  method
4-6-6-1  isolate     4-8-4-3  lava        5-2-3-1  lunar       5-4-1-3  middle
4-6-6-2  issue       4-8-4-4  law         5-2-3-2  lunch       5-4-1-4  midnight
4-6-6-3  item        4-8-5-1  lawn        5-2-3-3  luxury      5-4-2-1  milk
4-6-6-4  ivory       4-8-5-2  lawsuit     5-2-3-4  lyrics      5-4-2-2  million
4-6-7-1  jacket      4-8-5-3  layer       5-2-4-1  machine     5-4-2-3  mimic
4-6-7-2  jaguar      4-8-5-4  lazy        5-2-4-2  mad         5-4-2-4  mind
4-6-7-3  jar         4-8-6-1  leader      5-2-4-3  magic       5-4-3-1  minimum
4-6-7-4  jazz        4-8-6-2  leaf        5-2-4-4  magnet      5-4-3-2  minor
4-6-8-1  jealous     4-8-6-3  learn       5-2-5-1  maid        5-4-3-3  minute
4-6-8-2  jeans       4-8-6-4  leave       5-2-5-2  mail        5-4-3-4  miracle
4-6-8-3  jelly       4-8-7-1  lecture     5-2-5-3  main        5-4-4-1  mirror
4-6-8-4  jewel       4-8-7-2  left        5-2-5-4  major       5-4-4-2  misery
4-7-1-1  job         4-8-7-3  leg         5-2-6-1  make        5-4-4-3  miss
4-7-1-2  join        4-8-7-4  legal       5-2-6-2  mammal      5-4-4-4  mistake
4-7-1-3  joke        4-8-8-1  legend      5-2-6-3  man         5-4-5-1  mix
4-7-1-4  journey     4-8-8-2  leisure     5-2-6-4  manage      5-4-5-2  mixed
4-7-2-1  joy         4-8-8-3  lemon       5-2-7-1  mandate     5-4-5-3  mixture
4-7-2-2  judge       4-8-8-4  lend        5-2-7-2  mango       5-4-5-4  mobile
4-7-2-3  juice       5-1-1-1  length      5-2-7-3  mansion     5-4-6-1  model
4-7-2-4  jump        5-1-1-2  lens        5-2-7-4  manual      5-4-6-2  modify
4-7-3-1  jungle      5-1-1-3  leopard     5-2-8-1  maple       5-4-6-3  mom
4-7-3-2  junior      5-1-1-4  lesson      5-2-8-2  marble      5-4-6-4  moment
4-7-3-3  junk        5-1-2-1  letter      5-2-8-3  march       5-4-7-1  monitor
4-7-3-4  just        5-1-2-2  level       5-2-8-4  margin      5-4-7-2  monkey
4-7-4-1  kangaroo    5-1-2-3  liar        5-3-1-1  marine      5-4-7-3  monster
4-7-4-2  keen        5-1-2-4  liberty     5-3-1-2  market      5-4-7-4  month
4-7-4-3  keep        5-1-3-1  library     5-3-1-3  marriage    5-4-8-1  moon
4-7-4-4  ketchup     5-1-3-2  license     5-3-1-4  mask        5-4-8-2  moral
4-7-5-1  key         5-1-3-3  life        5-3-2-1  mass        5-4-8-3  more
4-7-5-2  kick        5-1-3-4  lift        5-3-2-2  master      5-4-8-4  morning
4-7-5-3  kid         5-1-4-1  light       5-3-2-3  match       5-5-1-1  mosquito
4-7-5-4  kidney      5-1-4-2  like        5-3-2-4  material    5-5-1-2  mother
4-7-6-1  kind        5-1-4-3  limb        5-3-3-1  math        5-5-1-3  motion
4-7-6-2  kingdom     5-1-4-4  limit       5-3-3-2  matrix      5-5-1-4  motor
4-7-6-3  kiss        5-1-5-1  link        5-3-3-3  matter      5-5-2-1  mountain
4-7-6-4  kit         5-1-5-2  lion        5-3-3-4  maximum     5-5-2-2  mouse
4-7-7-1  kitchen     5-1-5-3  liquid      5-3-4-1  maze        5-5-2-3  move
4-7-7-2  kite        5-1-5-4  list        5-3-4-2  meadow      5-5-2-4  movie

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 6 of 9
2048 throws, one word each, no rerolls             this page: 5-5-3-1 .. 6-4-4-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

5-5-3-1  much        5-7-1-3  obscure     5-8-8-1  panel       6-2-6-3  plug
5-5-3-2  muffin      5-7-1-4  observe     5-8-8-2  panic       6-2-6-4  plunge
5-5-3-3  mule        5-7-2-1  obtain      5-8-8-3  panther     6-2-7-1  poem
5-5-3-4  multiply    5-7-2-2  obvious     5-8-8-4  paper       6-2-7-2  poet
