BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 1 of 9
2048 throws, one word each, no rerolls                this page: 1-1-1 .. 1-15-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1    abandon     1-4-11   also        1-8-5    attend      1-11-15  beyond
1-4-10   already     1-8-4    attack      1-11-14  between     1-15-8   brother

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 2 of 9
2048 throws, one word each, no rerolls              this page: 1-15-9 .. 2-13-16
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-15-9   brown       2-3-3    cattle      2-6-13   clog        2-10-7   crazy
1-15-10  brush       2-3-4    caught      2-6-14   close       2-10-8   cream
1-15-11  bubble      2-3-5    cause       2-6-15   cloth       2-10-9   credit
1-15-12  buddy       2-3-6    caution     2-6-16   cloud       2-10-10  creek
1-15-13  budget      2-3-7    cave        2-7-1    clown       2-10-11  crew
1-15-14  buffalo     2-3-8    ceiling     2-7-2    club        2-10-12  cricket
1-15-15  build       2-3-9    celery      2-7-3    clump       2-10-13  crime
1-15-16  bulb        2-3-10   cement      2-7-4    cluster     2-10-14  crisp
1-16-1   bulk        2-3-11   census      2-7-5    clutch      2-10-15  critic
1-16-2   bullet      2-3-12   century     2-7-6    coach       2-10-16  crop
1-16-3   bundle      2-3-13   cereal      2-7-7    coast       2-11-1   cross
1-16-4   bunker      2-3-14   certain     2-7-8    coconut     2-11-2   crouch
1-16-5   burden      2-3-15   chair       2-7-9    code        2-11-3   crowd
1-16-6   burger      2-3-16   chalk       2-7-10   coffee      2-11-4   crucial
1-16-7   burst       2-4-1    champion    2-7-11   coil        2-11-5   cruel
1-16-8   bus         2-4-2    change      2-7-12   coin        2-11-6   cruise
1-16-9   business    2-4-3    chaos       2-7-13   collect     2-11-7   crumble
1-16-10  busy        2-4-4    chapter     2-7-14   color       2-11-8   crunch
1-16-11  butter      2-4-5    charge      2-7-15   column      2-11-9   crush
1-16-12  buyer       2-4-6    chase       2-7-16   combine     2-11-10  cry
1-16-13  buzz        2-4-7    chat        2-8-1    come        2-11-11  crystal
1-16-14  cabbage     2-4-8    cheap       2-8-2    comfort     2-11-12  cube
1-16-15  cabin       2-4-9    check       2-8-3    comic       2-11-13  culture
1-16-16  cable       2-4-10   cheese      2-8-4    common      2-11-14  cup
2-1-1    cactus      2-4-11   chef        2-8-5    company     2-11-15  cupboard
2-1-2    cage        2-4-12   cherry      2-8-6    concert     2-11-16  curious
2-1-3    cake        2-4-13   chest       2-8-7    conduct     2-12-1   current
2-1-4    call        2-4-14   chicken     2-8-8    confirm     2-12-2   curtain
2-1-5    calm        2-4-15   chief       2-8-9    congress    2-12-3   curve
2-1-6    camera      2-4-16   child       2-8-10   connect     2-12-4   cushion
2-1-7    camp        2-5-1    chimney     2-8-11   consider    2-12-5   custom
2-1-8    can         2-5-2    choice      2-8-12   control     2-12-6   cute
2-1-9    canal       2-5-3    choose      2-8-13   convince    2-12-7   cycle
2-1-10   cancel      2-5-4    chronic     2-8-14   cook        2-12-8   dad
2-1-11   candy       2-5-5    chuckle     2-8-15   cool        2-12-9   damage
2-1-12   cannon      2-5-6    chunk       2-8-16   copper      2-12-10  damp
2-1-13   canoe       2-5-7    churn       2-9-1    copy        2-12-11  dance
2-1-14   canvas      2-5-8    cigar       2-9-2    coral       2-12-12  danger
2-1-15   canyon      2-5-9    cinnamon    2-9-3    core        2-12-13  daring
2-1-16   capable     2-5-10   circle      2-9-4    corn        2-12-14  dash
2-2-1    capital     2-5-11   citizen     2-9-5    correct     2-12-15  daughter
2-2-2    captain     2-5-12   city        2-9-6    cost        2-12-16  dawn
2-2-3    car         2-5-13   civil       2-9-7    cotton      2-13-1   day
2-2-4    carbon      2-5-14   claim       2-9-8    couch       2-13-2   deal
2-2-5    card        2-5-15   clap        2-9-9    country     2-13-3   debate
2-2-6    cargo       2-5-16   clarify     2-9-10   couple      2-13-4   debris
2-2-7    carpet      2-6-1    claw        2-9-11   course      2-13-5   decade
2-2-8    carry       2-6-2    clay        2-9-12   cousin      2-13-6   december
2-2-9    cart        2-6-3    clean       2-9-13   cover       2-13-7   decide
2-2-10   case        2-6-4    clerk       2-9-14   coyote      2-13-8   decline
2-2-11   cash        2-6-5    clever      2-9-15   crack       2-13-9   decorate
2-2-12   casino      2-6-6    click       2-9-16   cradle      2-13-10  decrease
2-2-13   castle      2-6-7    client      2-10-1   craft       2-13-11  deer
2-2-14   casual      2-6-8    cliff       2-10-2   cram        2-13-12  defense
2-2-15   cat         2-6-9    climb       2-10-3   crane       2-13-13  define
2-2-16   catalog     2-6-10   clinic      2-10-4   crash       2-13-14  defy
2-3-1    catch       2-6-11   clip        2-10-5   crater      2-13-15  degree
2-3-2    category    2-6-12   clock       2-10-6   crawl       2-13-16  delay

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 3 of 9
2048 throws, one word each, no rerolls               this page: 2-14-1 .. 3-12-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

2-14-1   deliver     3-1-11   donor       3-5-5    embrace     3-8-15   exist
2-14-2   demand      3-1-12   door        3-5-6    emerge      3-8-16   exit
2-14-3   demise      3-1-13   dose        3-5-7    emotion     3-9-1    exotic
2-14-4   denial      3-1-14   double      3-5-8    employ      3-9-2    expand
2-14-5   dentist     3-1-15   dove        3-5-9    empower     3-9-3    expect
2-14-6   deny        3-1-16   draft       3-5-10   empty       3-9-4    expire
2-14-7   depart      3-2-1    dragon      3-5-11   enable      3-9-5    explain
2-14-8   depend      3-2-2    drama       3-5-12   enact       3-9-6    expose
2-14-9   deposit     3-2-3    drastic     3-5-13   end         3-9-7    express
2-14-10  depth       3-2-4    draw        3-5-14   endless     3-9-8    extend
2-14-11  deputy      3-2-5    dream       3-5-15   endorse     3-9-9    extra
2-14-12  derive      3-2-6    dress       3-5-16   enemy       3-9-10   eye
2-14-13  describe    3-2-7    drift       3-6-1    energy      3-9-11   eyebrow
2-14-14  desert      3-2-8    drill       3-6-2    enforce     3-9-12   fabric
2-14-15  design      3-2-9    drink       3-6-3    engage      3-9-13   face
2-14-16  desk        3-2-10   drip        3-6-4    engine      3-9-14   faculty
2-15-1   despair     3-2-11   drive       3-6-5    enhance     3-9-15   fade
2-15-2   destroy     3-2-12   drop        3-6-6    enjoy       3-9-16   faint
2-15-3   detail      3-2-13   drum        3-6-7    enlist      3-10-1   faith
2-15-4   detect      3-2-14   dry         3-6-8    enough      3-10-2   fall
2-15-5   develop     3-2-15   duck        3-6-9    enrich      3-10-3   false
2-15-6   device      3-2-16   dumb        3-6-10   enroll      3-10-4   fame
2-15-7   devote      3-3-1    dune        3-6-11   ensure      3-10-5   family
2-15-8   diagram     3-3-2    during      3-6-12   enter       3-10-6   famous
2-15-9   dial        3-3-3    dust        3-6-13   entire      3-10-7   fan
2-15-10  diamond     3-3-4    dutch       3-6-14   entry       3-10-8   fancy
2-15-11  diary       3-3-5    duty        3-6-15   envelope    3-10-9   fantasy
2-15-12  dice        3-3-6    dwarf       3-6-16   episode     3-10-10  farm
2-15-13  diesel      3-3-7    dynamic     3-7-1    equal       3-10-11  fashion
2-15-14  diet        3-3-8    eager       3-7-2    equip       3-10-12  fat
2-15-15  differ      3-3-9    eagle       3-7-3    era         3-10-13  fatal
2-15-16  digital     3-3-10   early       3-7-4    erase       3-10-14  father
2-16-1   dignity     3-3-11   earn        3-7-5    erode       3-10-15  fatigue
2-16-2   dilemma     3-3-12   earth       3-7-6    erosion     3-10-16  fault
2-16-3   dinner      3-3-13   easily      3-7-7    error       3-11-1   favorite
2-16-4   dinosaur    3-3-14   east        3-7-8    erupt       3-11-2   feature
2-16-5   direct      3-3-15   easy        3-7-9    escape      3-11-3   february
2-16-6   dirt        3-3-16   echo        3-7-10   essay       3-11-4   federal
2-16-7   disagree    3-4-1    ecology     3-7-11   essence     3-11-5   fee
2-16-8   discover    3-4-2    economy     3-7-12   estate      3-11-6   feed
2-16-9   disease     3-4-3    edge        3-7-13   eternal     3-11-7   feel
2-16-10  dish        3-4-4    edit        3-7-14   ethics      3-11-8   female
2-16-11  dismiss     3-4-5    educate     3-7-15   evidence    3-11-9   fence
2-16-12  disorder    3-4-6    effort      3-7-16   evil        3-11-10  festival
2-16-13  display     3-4-7    egg         3-8-1    evoke       3-11-11  fetch
2-16-14  distance    3-4-8    eight       3-8-2    evolve      3-11-12  fever
2-16-15  divert      3-4-9    either      3-8-3    exact       3-11-13  few
2-16-16  divide      3-4-10   elbow       3-8-4    example     3-11-14  fiber
3-1-1    divorce     3-4-11   elder       3-8-5    excess      3-11-15  fiction
3-1-2    dizzy       3-4-12   electric    3-8-6    exchange    3-11-16  field
3-1-3    doctor      3-4-13   elegant     3-8-7    excite      3-12-1   figure
3-1-4    document    3-4-14   element     3-8-8    exclude     3-12-2   file
3-1-5    dog         3-4-15   elephant    3-8-9    excuse      3-12-3   film
3-1-6    doll        3-4-16   elevator    3-8-10   execute     3-12-4   filter
3-1-7    dolphin     3-5-1    elite       3-8-11   exercise    3-12-5   final
3-1-8    domain      3-5-2    else        3-8-12   exhaust     3-12-6   find
3-1-9    donate      3-5-3    embark      3-8-13   exhibit     3-12-7   fine
3-1-10   donkey      3-5-4    embody      3-8-14   exile       3-12-8   finger

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 4 of 9
2048 throws, one word each, no rerolls              this page: 3-12-9 .. 4-10-16
       *** NEVER enter a seed on an online device -- air-gapped only ***

3-12-9   finish      3-16-3   furnace     4-3-13   grain       4-7-7    holiday
3-12-10  fire        3-16-4   fury        4-3-14   grant       4-7-8    hollow
3-12-11  firm        3-16-5   future      4-3-15   grape       4-7-9    home
3-12-12  first       3-16-6   gadget      4-3-16   grass       4-7-10   honey
3-12-13  fiscal      3-16-7   gain        4-4-1    gravity     4-7-11   hood
3-12-14  fish        3-16-8   galaxy      4-4-2    great       4-7-12   hope
3-12-15  fit         3-16-9   gallery     4-4-3    green       4-7-13   horn
3-12-16  fitness     3-16-10  game        4-4-4    grid        4-7-14   horror
3-13-1   fix         3-16-11  gap         4-4-5    grief       4-7-15   horse
3-13-2   flag        3-16-12  garage      4-4-6    grit        4-7-16   hospital
3-13-3   flame       3-16-13  garbage     4-4-7    grocery     4-8-1    host
3-13-4   flash       3-16-14  garden      4-4-8    group       4-8-2    hotel
3-13-5   flat        3-16-15  garlic      4-4-9    grow        4-8-3    hour
3-13-6   flavor      3-16-16  garment     4-4-10   grunt       4-8-4    hover
3-13-7   flee        4-1-1    gas         4-4-11   guard       4-8-5    hub
3-13-8   flight      4-1-2    gasp        4-4-12   guess       4-8-6    huge
3-13-9   flip        4-1-3    gate        4-4-13   guide       4-8-7    human
3-13-10  float       4-1-4    gather      4-4-14   guilt       4-8-8    humble
3-13-11  flock       4-1-5    gauge       4-4-15   guitar      4-8-9    humor
3-13-12  floor       4-1-6    gaze        4-4-16   gun         4-8-10   hundred
3-13-13  flower      4-1-7    general     4-5-1    gym         4-8-11   hungry
3-13-14  fluid       4-1-8    genius      4-5-2    habit       4-8-12   hunt
3-13-15  flush       4-1-9    genre       4-5-3    hair        4-8-13   hurdle
3-13-16  fly         4-1-10   gentle      4-5-4    half        4-8-14   hurry
3-14-1   foam        4-1-11   genuine     4-5-5    hammer      4-8-15   hurt
3-14-2   focus       4-1-12   gesture     4-5-6    hamster     4-8-16   husband
3-14-3   fog         4-1-13   ghost       4-5-7    hand        4-9-1    hybrid
3-14-4   foil        4-1-14   giant       4-5-8    happy       4-9-2    ice
3-14-5   fold        4-1-15   gift        4-5-9    harbor      4-9-3    icon
3-14-6   follow      4-1-16   giggle      4-5-10   hard        4-9-4    idea
3-14-7   food        4-2-1    ginger      4-5-11   harsh       4-9-5    identify
3-14-8   foot        4-2-2    giraffe     4-5-12   harvest     4-9-6    idle
3-14-9   force       4-2-3    girl        4-5-13   hat         4-9-7    ignore
3-14-10  forest      4-2-4    give        4-5-14   have        4-9-8    ill
3-14-11  forget      4-2-5    glad        4-5-15   hawk        4-9-9    illegal
3-14-12  fork        4-2-6    glance      4-5-16   hazard      4-9-10   illness
3-14-13  fortune     4-2-7    glare       4-6-1    head        4-9-11   image
3-14-14  forum       4-2-8    glass       4-6-2    health      4-9-12   imitate
3-14-15  forward     4-2-9    glide       4-6-3    heart       4-9-13   immense
3-14-16  fossil      4-2-10   glimpse     4-6-4    heavy       4-9-14   immune
3-15-1   foster      4-2-11   globe       4-6-5    hedgehog    4-9-15   impact
3-15-2   found       4-2-12   gloom       4-6-6    height      4-9-16   impose
3-15-3   fox         4-2-13   glory       4-6-7    hello       4-10-1   improve
3-15-4   fragile     4-2-14   glove       4-6-8    helmet      4-10-2   impulse
3-15-5   frame       4-2-15   glow        4-6-9    help        4-10-3   inch
3-15-6   frequent    4-2-16   glue        4-6-10   hen         4-10-4   include
3-15-7   fresh       4-3-1    goat        4-6-11   hero        4-10-5   income
3-15-8   friend      4-3-2    goddess     4-6-12   hidden      4-10-6   increase
3-15-9   fringe      4-3-3    gold        4-6-13   high        4-10-7   index
3-15-10  frog        4-3-4    good        4-6-14   hill        4-10-8   indicate
3-15-11  front       4-3-5    goose       4-6-15   hint        4-10-9   indoor
3-15-12  frost       4-3-6    gorilla     4-6-16   hip         4-10-10  industry
3-15-13  frown       4-3-7    gospel      4-7-1    hire        4-10-11  infant
3-15-14  frozen      4-3-8    gossip      4-7-2    history     4-10-12  inflict
3-15-15  fruit       4-3-9    govern      4-7-3    hobby       4-10-13  inform
3-15-16  fuel        4-3-10   gown        4-7-4    hockey      4-10-14  inhale
3-16-1   fun         4-3-11   grab        4-7-5    hold        4-10-15  inherit
3-16-2   funny       4-3-12   grace       4-7-6    hole        4-10-16  initial

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 5 of 9
2048 throws, one word each, no rerolls                this page: 4-11-1 .. 5-9-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

4-11-1   inject      4-14-11  kitten      5-2-5    little      5-5-15   mean
4-11-2   injury      4-14-12  kiwi        5-2-6    live        5-5-16   measure
4-11-3   inmate      4-14-13  knee        5-2-7    lizard      5-6-1    meat
4-11-4   inner       4-14-14  knife       5-2-8    load        5-6-2    mechanic
4-11-5   innocent    4-14-15  knock       5-2-9    loan        5-6-3    medal
4-11-6   input       4-14-16  know        5-2-10   lobster     5-6-4    media
4-11-7   inquiry     4-15-1   lab         5-2-11   local       5-6-5    melody
4-11-8   insane      4-15-2   label       5-2-12   lock        5-6-6    melt
4-11-9   insect      4-15-3   labor       5-2-13   logic       5-6-7    member
4-11-10  inside      4-15-4   ladder      5-2-14   lonely      5-6-8    memory
4-11-11  inspire     4-15-5   lady        5-2-15   long        5-6-9    mention
4-11-12  install     4-15-6   lake        5-2-16   loop        5-6-10   menu
4-11-13  intact      4-15-7   lamp        5-3-1    lottery     5-6-11   mercy
4-11-14  interest    4-15-8   language    5-3-2    loud        5-6-12   merge
4-11-15  into        4-15-9   laptop      5-3-3    lounge      5-6-13   merit
4-11-16  invest      4-15-10  large       5-3-4    love        5-6-14   merry
4-12-1   invite      4-15-11  later       5-3-5    loyal       5-6-15   mesh
4-12-2   involve     4-15-12  latin       5-3-6    lucky       5-6-16   message
4-12-3   iron        4-15-13  laugh       5-3-7    luggage     5-7-1    metal
4-12-4   island      4-15-14  laundry     5-3-8    lumber      5-7-2    method
4-12-5   isolate     4-15-15  lava        5-3-9    lunar       5-7-3    middle
4-12-6   issue       4-15-16  law         5-3-10   lunch       5-7-4    midnight
4-12-7   item        4-16-1   lawn        5-3-11   luxury      5-7-5    milk
4-12-8   ivory       4-16-2   lawsuit     5-3-12   lyrics      5-7-6    million
4-12-9   jacket      4-16-3   layer       5-3-13   machine     5-7-7    mimic
4-12-10  jaguar      4-16-4   lazy        5-3-14   mad         5-7-8    mind
4-12-11  jar         4-16-5   leader      5-3-15   magic       5-7-9    minimum
4-12-12  jazz        4-16-6   leaf        5-3-16   magnet      5-7-10   minor
4-12-13  jealous     4-16-7   learn       5-4-1    maid        5-7-11   minute
4-12-14  jeans       4-16-8   leave       5-4-2    mail        5-7-12   miracle
4-12-15  jelly       4-16-9   lecture     5-4-3    main        5-7-13   mirror
4-12-16  jewel       4-16-10  left        5-4-4    major       5-7-14   misery
4-13-1   job         4-16-11  leg         5-4-5    make        5-7-15   miss
4-13-2   join        4-16-12  legal       5-4-6    mammal      5-7-16   mistake
4-13-3   joke        4-16-13  legend      5-4-7    man         5-8-1    mix
4-13-4   journey     4-16-14  leisure     5-4-8    manage      5-8-2    mixed
4-13-5   joy         4-16-15  lemon       5-4-9    mandate     5-8-3    mixture
4-13-6   judge       4-16-16  lend        5-4-10   mango       5-8-4    mobile
4-13-7   juice       5-1-1    length      5-4-11   mansion     5-8-5    model
4-13-8   jump        5-1-2    lens        5-4-12   manual      5-8-6    modify
4-13-9   jungle      5-1-3    leopard     5-4-13   maple       5-8-7    mom
4-13-10  junior      5-1-4    lesson      5-4-14   marble      5-8-8    moment
4-13-11  junk        5-1-5    letter      5-4-15   march       5-8-9    monitor
4-13-12  just        5-1-6    level       5-4-16   margin      5-8-10   monkey
4-13-13  kangaroo    5-1-7    liar        5-5-1    marine      5-8-11   monster
4-13-14  keen        5-1-8    liberty     5-5-2    market      5-8-12   month
4-13-15  keep        5-1-9    library     5-5-3    marriage    5-8-13   moon
4-13-16  ketchup     5-1-10   license     5-5-4    mask        5-8-14   moral
4-14-1   key         5-1-11   life        5-5-5    mass        5-8-15   more
4-14-2   kick        5-1-12   lift        5-5-6    master      5-8-16   morning
4-14-3   kid         5-1-13   light       5-5-7    match       5-9-1    mosquito
4-14-4   kidney      5-1-14   like        5-5-8    material    5-9-2    mother
4-14-5   kind        5-1-15   limb        5-5-9    math        5-9-3    motion
4-14-6   kingdom     5-1-16   limit       5-5-10   matrix      5-9-4    motor
4-14-7   kiss        5-2-1    link        5-5-11   matter      5-9-5    mountain
4-14-8   kit         5-2-2    lion        5-5-12   maximum     5-9-6    mouse
4-14-9   kitchen     5-2-3    liquid      5-5-13   maze        5-9-7    move
4-14-10  kite        5-2-4    list        5-5-14   meadow      5-9-8    movie

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 6 of 9
2048 throws, one word each, no rerolls                this page: 5-9-9 .. 6-7-16
       *** NEVER enter a seed on an online device -- air-gapped only ***

5-9-9    much        5-13-3   obscure     5-16-13  panel       6-4-7    plug
5-9-10   muffin      5-13-4   observe     5-16-14  panic       6-4-8    plunge
5-9-11   mule        5-13-5   obtain      5-16-15  panther     6-4-9    poem
5-9-12   multiply    5-13-6   obvious     5-16-16  paper       6-4-10   poet
5-9-13   muscle      5-13-7   occur       6-1-1    parade      6-4-11   point
5-9-14   museum      5-13-8   ocean       6-1-2    parent      6-4-12   polar
5-9-15   mushroom    5-13-9   october     6-1-3    park        6-4-13   pole
5-9-16   music       5-13-10  odor        6-1-4    parrot      6-4-14   police
5-10-1   must        5-13-11  off         6-1-5    party       6-4-15   pond
5-10-2   mutual      5-13-12  offer       6-1-6    pass        6-4-16   pony
5-10-3   myself      5-13-13  office      6-1-7    patch       6-5-1    pool
5-10-4   mystery     5-13-14  often       6-1-8    path        6-5-2    popular
5-10-5   myth        5-13-15  oil         6-1-9    patient     6-5-3    portion
5-10-6   naive       5-13-16  okay        6-1-10   patrol      6-5-4    position
5-10-7   name        5-14-1   old         6-1-11   pattern     6-5-5    possible
5-10-8   napkin      5-14-2   olive       6-1-12   pause       6-5-6    post
5-10-9   narrow      5-14-3   olympic     6-1-13   pave        6-5-7    potato
5-10-10  nasty       5-14-4   omit        6-1-14   payment     6-5-8    pottery
5-10-11  nation      5-14-5   once        6-1-15   peace       6-5-9    poverty
5-10-12  nature      5-14-6   one         6-1-16   peanut      6-5-10   powder
5-10-13  near        5-14-7   onion       6-2-1    pear        6-5-11   power
5-10-14  neck        5-14-8   online      6-2-2    peasant     6-5-12   practice
5-10-15  need        5-14-9   only        6-2-3    pelican     6-5-13   praise
5-10-16  negative    5-14-10  open        6-2-4    pen         6-5-14   predict
5-11-1   neglect     5-14-11  opera       6-2-5    penalty     6-5-15   prefer
5-11-2   neither     5-14-12  opinion     6-2-6    pencil      6-5-16   prepare
5-11-3   nephew      5-14-13  oppose      6-2-7    people      6-6-1    present
5-11-4   nerve       5-14-14  option      6-2-8    pepper      6-6-2    pretty
5-11-5   nest        5-14-15  orange      6-2-9    perfect     6-6-3    prevent
5-11-6   net         5-14-16  orbit       6-2-10   permit      6-6-4    price
5-11-7   network     5-15-1   orchard     6-2-11   person      6-6-5    pride
5-11-8   neutral     5-15-2   order       6-2-12   pet         6-6-6    primary
5-11-9   never       5-15-3   ordinary    6-2-13   phone       6-6-7    print
5-11-10  news        5-15-4   organ       6-2-14   photo       6-6-8    priority
5-11-11  next        5-15-5   orient      6-2-15   phrase      6-6-9    prison
5-11-12  nice        5-15-6   original    6-2-16   physical    6-6-10   private
5-11-13  night       5-15-7   orphan      6-3-1    piano       6-6-11   prize
5-11-14  noble       5-15-8   ostrich     6-3-2    picnic      6-6-12   problem
5-11-15  noise       5-15-9   other       6-3-3    picture     6-6-13   process
5-11-16  nominee     5-15-10  outdoor     6-3-4    piece       6-6-14   produce
5-12-1   noodle      5-15-11  outer       6-3-5    pig         6-6-15   profit
5-12-2   normal      5-15-12  output      6-3-6    pigeon      6-6-16   program
5-12-3   north       5-15-13  outside     6-3-7    pill        6-7-1    project
5-12-4   nose        5-15-14  oval        6-3-8    pilot       6-7-2    promote
5-12-5   notable     5-15-15  oven        6-3-9    pink        6-7-3    proof
5-12-6   note        5-15-16  over        6-3-10   pioneer     6-7-4    property
5-12-7   nothing     5-16-1   own         6-3-11   pipe        6-7-5    prosper
5-12-8   notice      5-16-2   owner       6-3-12   pistol      6-7-6    protect
5-12-9   novel       5-16-3   oxygen      6-3-13   pitch       6-7-7    proud
5-12-10  now         5-16-4   oyster      6-3-14   pizza       6-7-8    provide
5-12-11  nuclear     5-16-5   ozone       6-3-15   place       6-7-9    public
5-12-12  number      5-16-6   pact        6-3-16   planet      6-7-10   pudding
5-12-13  nurse       5-16-7   paddle      6-4-1    plastic     6-7-11   pull
5-12-14  nut         5-16-8   page        6-4-2    plate       6-7-12   pulp
5-12-15  oak         5-16-9   pair        6-4-3    play        6-7-13   pulse
5-12-16  obey        5-16-10  palace      6-4-4    please      6-7-14   pumpkin
5-13-1   object      5-16-11  palm        6-4-5    pledge      6-7-15   punch
5-13-2   oblige      5-16-12  panda       6-4-6    pluck       6-7-16   pupil

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 7 of 9
2048 throws, one word each, no rerolls                 this page: 6-8-1 .. 7-6-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

6-8-1    puppy       6-11-11  relief      6-15-5   route       7-2-15   sense
6-8-2    purchase    6-11-12  rely        6-15-6   royal       7-2-16   sentence
6-8-3    purity      6-11-13  remain      6-15-7   rubber      7-3-1    series
6-8-4    purpose     6-11-14  remember    6-15-8   rude        7-3-2    service
6-8-5    purse       6-11-15  remind      6-15-9   rug         7-3-3    session
6-8-6    push        6-11-16  remove      6-15-10  rule        7-3-4    settle
6-8-7    put         6-12-1   render      6-15-11  run         7-3-5    setup
6-8-8    puzzle      6-12-2   renew       6-15-12  runway      7-3-6    seven
6-8-9    pyramid     6-12-3   rent        6-15-13  rural       7-3-7    shadow
6-8-10   quality     6-12-4   reopen      6-15-14  sad         7-3-8    shaft
