BIP39 dice table -- throw 5d6, read left to right    page 1 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-1-1-1 .. 1-1-5-5-6

1-1-1-1-1  abandon     1-1-2-4-5  also        1-1-4-2-3  attend
1-1-6-6-6  brain       1-2-2-4-4  captain     1-2-4-2-2  city
1-2-1-1-1  brand       1-2-2-4-5  car         1-2-4-2-3  civil
1-2-1-1-2  brass       1-2-2-4-6  carbon      1-2-4-2-4  claim
1-2-1-1-3  brave       1-2-2-5-1  card        1-2-4-2-5  clap
1-2-1-1-4  bread       1-2-2-5-2  cargo       1-2-4-2-6  clarify
1-2-1-1-5  breeze      1-2-2-5-3  carpet      1-2-4-3-1  claw
1-2-1-1-6  brick       1-2-2-5-4  carry       1-2-4-3-2  clay
1-2-1-2-1  bridge      1-2-2-5-5  cart        1-2-4-3-3  clean
1-2-1-2-2  brief       1-2-2-5-6  case        1-2-4-3-4  clerk
1-2-1-2-3  bright      1-2-2-6-1  cash        1-2-4-3-5  clever
1-2-1-2-4  bring       1-2-2-6-2  casino      1-2-4-3-6  click
1-2-1-2-5  brisk       1-2-2-6-3  castle      1-2-4-4-1  client
1-2-1-2-6  broccoli    1-2-2-6-4  casual      1-2-4-4-2  cliff
1-2-1-3-1  broken      1-2-2-6-5  cat         1-2-4-4-3  climb
1-2-1-3-2  bronze      1-2-2-6-6  catalog     1-2-4-4-4  clinic
1-2-1-3-3  broom       1-2-3-1-1  catch       1-2-4-4-5  clip
1-2-1-3-4  brother     1-2-3-1-2  category    1-2-4-4-6  clock

BIP39 dice table -- throw 5d6, read left to right    page 3 of 45
1632 of 7776 throws say (reroll)  this page: 1-2-4-5-1 .. 1-3-3-3-6

1-2-4-5-1  clog        1-2-6-2-5  crazy       1-3-1-6-3  deliver
1-2-4-5-2  close       1-2-6-2-6  cream       1-3-1-6-4  demand
1-2-4-5-3  cloth       1-2-6-3-1  credit      1-3-1-6-5  demise
1-2-4-5-4  cloud       1-2-6-3-2  creek       1-3-1-6-6  denial
1-2-4-5-5  clown       1-2-6-3-3  crew        1-3-2-1-1  dentist
1-2-4-5-6  club        1-2-6-3-4  cricket     1-3-2-1-2  deny
1-2-4-6-1  clump       1-2-6-3-5  crime       1-3-2-1-3  depart
1-2-4-6-2  cluster     1-2-6-3-6  crisp       1-3-2-1-4  depend
1-2-4-6-3  clutch      1-2-6-4-1  critic      1-3-2-1-5  deposit
1-2-4-6-4  coach       1-2-6-4-2  crop        1-3-2-1-6  depth
1-2-4-6-5  coast       1-2-6-4-3  cross       1-3-2-2-1  deputy
1-2-4-6-6  coconut     1-2-6-4-4  crouch      1-3-2-2-2  derive
1-2-5-1-1  code        1-2-6-4-5  crowd       1-3-2-2-3  describe
1-2-5-1-2  coffee      1-2-6-4-6  crucial     1-3-2-2-4  desert
1-2-5-1-3  coil        1-2-6-5-1  cruel       1-3-2-2-5  design
1-2-5-1-4  coin        1-2-6-5-2  cruise      1-3-2-2-6  desk
1-2-5-1-5  collect     1-2-6-5-3  crumble     1-3-2-3-1  despair
1-2-5-1-6  color       1-2-6-5-4  crunch      1-3-2-3-2  destroy
1-2-5-2-1  column      1-2-6-5-5  crush       1-3-2-3-3  detail
1-2-5-2-2  combine     1-2-6-5-6  cry         1-3-2-3-4  detect
1-2-5-2-3  come        1-2-6-6-1  crystal     1-3-2-3-5  develop
1-2-5-2-4  comfort     1-2-6-6-2  cube        1-3-2-3-6  device
1-2-5-2-5  comic       1-2-6-6-3  culture     1-3-2-4-1  devote
1-2-5-2-6  common      1-2-6-6-4  cup         1-3-2-4-2  diagram
1-2-5-3-1  company     1-2-6-6-5  cupboard    1-3-2-4-3  dial
1-2-5-3-2  concert     1-2-6-6-6  curious     1-3-2-4-4  diamond
1-2-5-3-3  conduct     1-3-1-1-1  current     1-3-2-4-5  diary
1-2-5-3-4  confirm     1-3-1-1-2  curtain     1-3-2-4-6  dice
1-2-5-3-5  congress    1-3-1-1-3  curve       1-3-2-5-1  diesel
1-2-5-3-6  connect     1-3-1-1-4  cushion     1-3-2-5-2  diet
1-2-5-4-1  consider    1-3-1-1-5  custom      1-3-2-5-3  differ
1-2-5-4-2  control     1-3-1-1-6  cute        1-3-2-5-4  digital
1-2-5-4-3  convince    1-3-1-2-1  cycle       1-3-2-5-5  dignity
1-2-5-4-4  cook        1-3-1-2-2  dad         1-3-2-5-6  dilemma
1-2-5-4-5  cool        1-3-1-2-3  damage      1-3-2-6-1  dinner
1-2-5-4-6  copper      1-3-1-2-4  damp        1-3-2-6-2  dinosaur
1-2-5-5-1  copy        1-3-1-2-5  dance       1-3-2-6-3  direct
1-2-5-5-2  coral       1-3-1-2-6  danger      1-3-2-6-4  dirt
1-2-5-5-3  core        1-3-1-3-1  daring      1-3-2-6-5  disagree
1-2-5-5-4  corn        1-3-1-3-2  dash        1-3-2-6-6  discover
1-2-5-5-5  correct     1-3-1-3-3  daughter    1-3-3-1-1  disease
1-2-5-5-6  cost        1-3-1-3-4  dawn        1-3-3-1-2  dish
1-2-5-6-1  cotton      1-3-1-3-5  day         1-3-3-1-3  dismiss
1-2-5-6-2  couch       1-3-1-3-6  deal        1-3-3-1-4  disorder
1-2-5-6-3  country     1-3-1-4-1  debate      1-3-3-1-5  display
1-2-5-6-4  couple      1-3-1-4-2  debris      1-3-3-1-6  distance
1-2-5-6-5  course      1-3-1-4-3  decade      1-3-3-2-1  divert
1-2-5-6-6  cousin      1-3-1-4-4  december    1-3-3-2-2  divide
1-2-6-1-1  cover       1-3-1-4-5  decide      1-3-3-2-3  divorce
1-2-6-1-2  coyote      1-3-1-4-6  decline     1-3-3-2-4  dizzy
1-2-6-1-3  crack       1-3-1-5-1  decorate    1-3-3-2-5  doctor
1-2-6-1-4  cradle      1-3-1-5-2  decrease    1-3-3-2-6  document
1-2-6-1-5  craft       1-3-1-5-3  deer        1-3-3-3-1  dog
1-2-6-1-6  cram        1-3-1-5-4  defense     1-3-3-3-2  doll
1-2-6-2-1  crane       1-3-1-5-5  define      1-3-3-3-3  dolphin
1-2-6-2-2  crash       1-3-1-5-6  defy        1-3-3-3-4  domain
1-2-6-2-3  crater      1-3-1-6-1  degree      1-3-3-3-5  donate
1-2-6-2-4  crawl       1-3-1-6-2  delay       1-3-3-3-6  donkey

BIP39 dice table -- throw 5d6, read left to right    page 4 of 45
1632 of 7776 throws say (reroll)  this page: 1-3-3-4-1 .. 1-4-2-2-6

1-3-3-4-1  donor       1-3-5-1-5  embrace     1-3-6-5-3  exist
1-3-3-4-2  door        1-3-5-1-6  emerge      1-3-6-5-4  exit
1-3-3-4-3  dose        1-3-5-2-1  emotion     1-3-6-5-5  exotic
1-3-3-4-4  double      1-3-5-2-2  employ      1-3-6-5-6  expand
1-3-3-4-5  dove        1-3-5-2-3  empower     1-3-6-6-1  expect
1-3-3-4-6  draft       1-3-5-2-4  empty       1-3-6-6-2  expire
1-3-3-5-1  dragon      1-3-5-2-5  enable      1-3-6-6-3  explain
1-3-3-5-2  drama       1-3-5-2-6  enact       1-3-6-6-4  expose
1-3-3-5-3  drastic     1-3-5-3-1  end         1-3-6-6-5  express
1-3-3-5-4  draw        1-3-5-3-2  endless     1-3-6-6-6  extend
1-3-3-5-5  dream       1-3-5-3-3  endorse     1-4-1-1-1  extra
1-3-3-5-6  dress       1-3-5-3-4  enemy       1-4-1-1-2  eye
1-3-3-6-1  drift       1-3-5-3-5  energy      1-4-1-1-3  eyebrow
1-3-3-6-2  drill       1-3-5-3-6  enforce     1-4-1-1-4  fabric
1-3-3-6-3  drink       1-3-5-4-1  engage      1-4-1-1-5  face
1-3-3-6-4  drip        1-3-5-4-2  engine      1-4-1-1-6  faculty
1-3-3-6-5  drive       1-3-5-4-3  enhance     1-4-1-2-1  fade
1-3-3-6-6  drop        1-3-5-4-4  enjoy       1-4-1-2-2  faint
1-3-4-1-1  drum        1-3-5-4-5  enlist      1-4-1-2-3  faith
1-3-4-1-2  dry         1-3-5-4-6  enough      1-4-1-2-4  fall
1-3-4-1-3  duck        1-3-5-5-1  enrich      1-4-1-2-5  false
1-3-4-1-4  dumb        1-3-5-5-2  enroll      1-4-1-2-6  fame
1-3-4-1-5  dune        1-3-5-5-3  ensure      1-4-1-3-1  family
1-3-4-1-6  during      1-3-5-5-4  enter       1-4-1-3-2  famous
1-3-4-2-1  dust        1-3-5-5-5  entire      1-4-1-3-3  fan
1-3-4-2-2  dutch       1-3-5-5-6  entry       1-4-1-3-4  fancy
1-3-4-2-3  duty        1-3-5-6-1  envelope    1-4-1-3-5  fantasy
1-3-4-2-4  dwarf       1-3-5-6-2  episode     1-4-1-3-6  farm
1-3-4-2-5  dynamic     1-3-5-6-3  equal       1-4-1-4-1  fashion
1-3-4-2-6  eager       1-3-5-6-4  equip       1-4-1-4-2  fat
1-3-4-3-1  eagle       1-3-5-6-5  era         1-4-1-4-3  fatal
1-3-4-3-2  early       1-3-5-6-6  erase       1-4-1-4-4  father
1-3-4-3-3  earn        1-3-6-1-1  erode       1-4-1-4-5  fatigue
1-3-4-3-4  earth       1-3-6-1-2  erosion     1-4-1-4-6  fault
1-3-4-3-5  easily      1-3-6-1-3  error       1-4-1-5-1  favorite
1-3-4-3-6  east        1-3-6-1-4  erupt       1-4-1-5-2  feature
1-3-4-4-1  easy        1-3-6-1-5  escape      1-4-1-5-3  february
1-3-4-4-2  echo        1-3-6-1-6  essay       1-4-1-5-4  federal
1-3-4-4-3  ecology     1-3-6-2-1  essence     1-4-1-5-5  fee
1-3-4-4-4  economy     1-3-6-2-2  estate      1-4-1-5-6  feed
1-3-4-4-5  edge        1-3-6-2-3  eternal     1-4-1-6-1  feel
1-3-4-4-6  edit        1-3-6-2-4  ethics      1-4-1-6-2  female
1-3-4-5-1  educate     1-3-6-2-5  evidence    1-4-1-6-3  fence
1-3-4-5-2  effort      1-3-6-2-6  evil        1-4-1-6-4  festival
1-3-4-5-3  egg         1-3-6-3-1  evoke       1-4-1-6-5  fetch
1-3-4-5-4  eight       1-3-6-3-2  evolve      1-4-1-6-6  fever
1-3-4-5-5  either      1-3-6-3-3  exact       1-4-2-1-1  few
1-3-4-5-6  elbow       1-3-6-3-4  example     1-4-2-1-2  fiber
1-3-4-6-1  elder       1-3-6-3-5  excess      1-4-2-1-3  fiction
1-3-4-6-2  electric    1-3-6-3-6  exchange    1-4-2-1-4  field
1-3-4-6-3  elegant     1-3-6-4-1  excite      1-4-2-1-5  figure
1-3-4-6-4  element     1-3-6-4-2  exclude     1-4-2-1-6  file
1-3-4-6-5  elephant    1-3-6-4-3  excuse      1-4-2-2-1  film
1-3-4-6-6  elevator    1-3-6-4-4  execute     1-4-2-2-2  filter
1-3-5-1-1  elite       1-3-6-4-5  exercise    1-4-2-2-3  final
1-3-5-1-2  else        1-3-6-4-6  exhaust     1-4-2-2-4  find
1-3-5-1-3  embark      1-3-6-5-1  exhibit     1-4-2-2-5  fine
1-3-5-1-4  embody      1-3-6-5-2  exile       1-4-2-2-6  finger

BIP39 dice table -- throw 5d6, read left to right    page 5 of 45
1632 of 7776 throws say (reroll)  this page: 1-4-2-3-1 .. 1-5-1-1-6

1-4-2-3-1  finish      1-4-3-6-5  furnace     1-4-5-4-3  grain
1-4-2-3-2  fire        1-4-3-6-6  fury        1-4-5-4-4  grant
1-4-2-3-3  firm        1-4-4-1-1  future      1-4-5-4-5  grape
1-4-2-3-4  first       1-4-4-1-2  gadget      1-4-5-4-6  grass
1-4-2-3-5  fiscal      1-4-4-1-3  gain        1-4-5-5-1  gravity
1-4-2-3-6  fish        1-4-4-1-4  galaxy      1-4-5-5-2  great
1-4-2-4-1  fit         1-4-4-1-5  gallery     1-4-5-5-3  green
1-4-2-4-2  fitness     1-4-4-1-6  game        1-4-5-5-4  grid
1-4-2-4-3  fix         1-4-4-2-1  gap         1-4-5-5-5  grief
1-4-2-4-4  flag        1-4-4-2-2  garage      1-4-5-5-6  grit
1-4-2-4-5  flame       1-4-4-2-3  garbage     1-4-5-6-1  grocery
1-4-2-4-6  flash       1-4-4-2-4  garden      1-4-5-6-2  group
1-4-2-5-1  flat        1-4-4-2-5  garlic      1-4-5-6-3  grow
1-4-2-5-2  flavor      1-4-4-2-6  garment     1-4-5-6-4  grunt
1-4-2-5-3  flee        1-4-4-3-1  gas         1-4-5-6-5  guard
1-4-2-5-4  flight      1-4-4-3-2  gasp        1-4-5-6-6  guess
1-4-2-5-5  flip        1-4-4-3-3  gate        1-4-6-1-1  guide
1-4-2-5-6  float       1-4-4-3-4  gather      1-4-6-1-2  guilt
1-4-2-6-1  flock       1-4-4-3-5  gauge       1-4-6-1-3  guitar
1-4-2-6-2  floor       1-4-4-3-6  gaze        1-4-6-1-4  gun
1-4-2-6-3  flower      1-4-4-4-1  general     1-4-6-1-5  gym
1-4-2-6-4  fluid       1-4-4-4-2  genius      1-4-6-1-6  habit
1-4-2-6-5  flush       1-4-4-4-3  genre       1-4-6-2-1  hair
1-4-2-6-6  fly         1-4-4-4-4  gentle      1-4-6-2-2  half
1-4-3-1-1  foam        1-4-4-4-5  genuine     1-4-6-2-3  hammer
1-4-3-1-2  focus       1-4-4-4-6  gesture     1-4-6-2-4  hamster
1-4-3-1-3  fog         1-4-4-5-1  ghost       1-4-6-2-5  hand
1-4-3-1-4  foil        1-4-4-5-2  giant       1-4-6-2-6  happy
1-4-3-1-5  fold        1-4-4-5-3  gift        1-4-6-3-1  harbor
1-4-3-1-6  follow      1-4-4-5-4  giggle      1-4-6-3-2  hard
1-4-3-2-1  food        1-4-4-5-5  ginger      1-4-6-3-3  harsh
1-4-3-2-2  foot        1-4-4-5-6  giraffe     1-4-6-3-4  harvest
1-4-3-2-3  force       1-4-4-6-1  girl        1-4-6-3-5  hat
1-4-3-2-4  forest      1-4-4-6-2  give        1-4-6-3-6  have
1-4-3-2-5  forget      1-4-4-6-3  glad        1-4-6-4-1  hawk
1-4-3-2-6  fork        1-4-4-6-4  glance      1-4-6-4-2  hazard
1-4-3-3-1  fortune     1-4-4-6-5  glare       1-4-6-4-3  head
1-4-3-3-2  forum       1-4-4-6-6  glass       1-4-6-4-4  health
1-4-3-3-3  forward     1-4-5-1-1  glide       1-4-6-4-5  heart
1-4-3-3-4  fossil      1-4-5-1-2  glimpse     1-4-6-4-6  heavy
1-4-3-3-5  foster      1-4-5-1-3  globe       1-4-6-5-1  hedgehog
1-4-3-3-6  found       1-4-5-1-4  gloom       1-4-6-5-2  height
1-4-3-4-1  fox         1-4-5-1-5  glory       1-4-6-5-3  hello
1-4-3-4-2  fragile     1-4-5-1-6  glove       1-4-6-5-4  helmet
1-4-3-4-3  frame       1-4-5-2-1  glow        1-4-6-5-5  help
1-4-3-4-4  frequent    1-4-5-2-2  glue        1-4-6-5-6  hen
1-4-3-4-5  fresh       1-4-5-2-3  goat        1-4-6-6-1  hero
1-4-3-4-6  friend      1-4-5-2-4  goddess     1-4-6-6-2  hidden
1-4-3-5-1  fringe      1-4-5-2-5  gold        1-4-6-6-3  high
1-4-3-5-2  frog        1-4-5-2-6  good        1-4-6-6-4  hill
1-4-3-5-3  front       1-4-5-3-1  goose       1-4-6-6-5  hint
1-4-3-5-4  frost       1-4-5-3-2  gorilla     1-4-6-6-6  hip
1-4-3-5-5  frown       1-4-5-3-3  gospel      1-5-1-1-1  hire
1-4-3-5-6  frozen      1-4-5-3-4  gossip      1-5-1-1-2  history
1-4-3-6-1  fruit       1-4-5-3-5  govern      1-5-1-1-3  hobby
1-4-3-6-2  fuel        1-4-5-3-6  gown        1-5-1-1-4  hockey
1-4-3-6-3  fun         1-4-5-4-1  grab        1-5-1-1-5  hold
1-4-3-6-4  funny       1-4-5-4-2  grace       1-5-1-1-6  hole

BIP39 dice table -- throw 5d6, read left to right    page 6 of 45
1632 of 7776 throws say (reroll)  this page: 1-5-1-2-1 .. 1-5-5-6-6

1-5-1-2-1  holiday     1-5-2-5-5  inject      1-5-4-3-3  kitten
1-5-1-2-2  hollow      1-5-2-5-6  injury      1-5-4-3-4  kiwi
1-5-1-2-3  home        1-5-2-6-1  inmate      1-5-4-3-5  knee
1-5-1-2-4  honey       1-5-2-6-2  inner       1-5-4-3-6  knife
1-5-1-2-5  hood        1-5-2-6-3  innocent    1-5-4-4-1  knock
1-5-1-2-6  hope        1-5-2-6-4  input       1-5-4-4-2  know
1-5-1-3-1  horn        1-5-2-6-5  inquiry     1-5-4-4-3  lab
1-5-1-3-2  horror      1-5-2-6-6  insane      1-5-4-4-4  label
1-5-1-3-3  horse       1-5-3-1-1  insect      1-5-4-4-5  labor
1-5-1-3-4  hospital    1-5-3-1-2  inside      1-5-4-4-6  ladder
1-5-1-3-5  host        1-5-3-1-3  inspire     1-5-4-5-1  lady
1-5-1-3-6  hotel       1-5-3-1-4  install     1-5-4-5-2  lake
1-5-1-4-1  hour        1-5-3-1-5  intact      1-5-4-5-3  lamp
1-5-1-4-2  hover       1-5-3-1-6  interest    1-5-4-5-4  language
1-5-1-4-3  hub         1-5-3-2-1  into        1-5-4-5-5  laptop
1-5-1-4-4  huge        1-5-3-2-2  invest      1-5-4-5-6  large
1-5-1-4-5  human       1-5-3-2-3  invite      1-5-4-6-1  later
1-5-1-4-6  humble      1-5-3-2-4  involve     1-5-4-6-2  latin
1-5-1-5-1  humor       1-5-3-2-5  iron        1-5-4-6-3  laugh
1-5-1-5-2  hundred     1-5-3-2-6  island      1-5-4-6-4  laundry
1-5-1-5-3  hungry      1-5-3-3-1  isolate     1-5-4-6-5  lava
1-5-1-5-4  hunt        1-5-3-3-2  issue       1-5-4-6-6  law
1-5-1-5-5  hurdle      1-5-3-3-3  item        1-5-5-1-1  lawn
1-5-1-5-6  hurry       1-5-3-3-4  ivory       1-5-5-1-2  lawsuit
1-5-1-6-1  hurt        1-5-3-3-5  jacket      1-5-5-1-3  layer
1-5-1-6-2  husband     1-5-3-3-6  jaguar      1-5-5-1-4  lazy
1-5-1-6-3  hybrid      1-5-3-4-1  jar         1-5-5-1-5  leader
1-5-1-6-4  ice         1-5-3-4-2  jazz        1-5-5-1-6  leaf
1-5-1-6-5  icon        1-5-3-4-3  jealous     1-5-5-2-1  learn
1-5-1-6-6  idea        1-5-3-4-4  jeans       1-5-5-2-2  leave
1-5-2-1-1  identify    1-5-3-4-5  jelly       1-5-5-2-3  lecture
1-5-2-1-2  idle        1-5-3-4-6  jewel       1-5-5-2-4  left
1-5-2-1-3  ignore      1-5-3-5-1  job         1-5-5-2-5  leg
1-5-2-1-4  ill         1-5-3-5-2  join        1-5-5-2-6  legal
1-5-2-1-5  illegal     1-5-3-5-3  joke        1-5-5-3-1  legend
1-5-2-1-6  illness     1-5-3-5-4  journey     1-5-5-3-2  leisure
1-5-2-2-1  image       1-5-3-5-5  joy         1-5-5-3-3  lemon
1-5-2-2-2  imitate     1-5-3-5-6  judge       1-5-5-3-4  lend
1-5-2-2-3  immense     1-5-3-6-1  juice       1-5-5-3-5  length
1-5-2-2-4  immune      1-5-3-6-2  jump        1-5-5-3-6  lens
1-5-2-2-5  impact      1-5-3-6-3  jungle      1-5-5-4-1  leopard
1-5-2-2-6  impose      1-5-3-6-4  junior      1-5-5-4-2  lesson
1-5-2-3-1  improve     1-5-3-6-5  junk        1-5-5-4-3  letter
1-5-2-3-2  impulse     1-5-3-6-6  just        1-5-5-4-4  level
1-5-2-3-3  inch        1-5-4-1-1  kangaroo    1-5-5-4-5  liar
1-5-2-3-4  include     1-5-4-1-2  keen        1-5-5-4-6  liberty
1-5-2-3-5  income      1-5-4-1-3  keep        1-5-5-5-1  library
1-5-2-3-6  increase    1-5-4-1-4  ketchup     1-5-5-5-2  license
1-5-2-4-1  index       1-5-4-1-5  key         1-5-5-5-3  life
